Model,Accuracy_mean,Accuracy_std,BAC_mean,BAC_std,F1_mean,F1_std,AUC_mean,AUC_std
Logistic Regression,0.4466666666666666,0.02494438257849294,0.4466666666666666,0.02494438257849294,0.4536952894365293,0.023844829436763776,0.41706666666666664,0.02293023234848605
XGBoost,0.4333333333333333,0.036817870057290855,0.4333333333333333,0.036817870057290855,0.41990986195393737,0.05659101478165969,0.39266666666666666,0.031903744120226556
SVM (RBF),0.43,0.0565685424949238,0.43,0.0565685424949238,0.44230708785164224,0.06126627367523651,0.38666666666666666,0.006615805989362797
LightGBM,0.42333333333333334,0.016996731711975938,0.42333333333333334,0.016996731711975938,0.42026029526029524,0.03544121277819258,0.4118666666666666,0.016593439131844318
Random Forest,0.42,0.014142135623730937,0.42,0.01414213562373095,0.419926468086469,0.011116422540286025,0.36493333333333333,0.021875607928060453
