Model,Accuracy,Balanced_Acc,F1,ROC_AUC,Cohen_Kappa,CV_BAC_mean,CV_AUC_mean
SVM (RBF),0.4166666666666667,0.4166666666666667,0.4262295081967213,0.62,-0.16666666666666674,0.43,0.38666666666666666
LightGBM,0.4,0.4,0.3793103448275862,0.3177777777777778,-0.19999999999999996,0.42333333333333334,0.4118666666666666
Logistic Regression,0.36666666666666664,0.3666666666666667,0.40625,0.4,-0.2666666666666666,0.4466666666666666,0.41706666666666664
XGBoost,0.31666666666666665,0.31666666666666665,0.3050847457627119,0.29333333333333333,-0.3666666666666667,0.4333333333333333,0.39266666666666666
Random Forest,0.2833333333333333,0.2833333333333333,0.2711864406779661,0.2633333333333333,-0.43333333333333335,0.42,0.36493333333333333
