subject_id,Accuracy,Balanced_Accuracy,F1,ROC_AUC
id1,0.0,0.0,0.0,0.0
id10,0.5,0.5,0.0,1.0
id100,0.0,0.0,0.0,0.0
id101,0.5,0.5,0.0,0.0
id102,1.0,1.0,1.0,1.0
id103,0.0,0.0,0.0,0.0
id104,0.5,0.5,0.6666666666666666,1.0
id105,0.5,0.5,0.6666666666666666,1.0
id106,0.0,0.0,0.0,0.0
id107,0.5,0.5,0.6666666666666666,0.0
id108,0.5,0.5,0.0,1.0
id109,1.0,1.0,1.0,1.0
id11,1.0,1.0,1.0,1.0
id110,0.0,0.0,0.0,0.0
id111,0.5,0.5,0.0,1.0
