Model,Test_Accuracy,F1_Weighted,GroupKFold_CV_Mean,GroupKFold_CV_Std
Logistic Regression,0.18209876543209877,0.15195616556024638,0.16906217231218437,0.02527952629696869
AdaBoost,0.17592592592592593,0.14570383983456758,0.15409855675019984,0.03006248974605923
XGBoost,0.15432098765432098,0.15242134606620522,0.15001735753396547,0.02080769910141757
LightGBM,0.15123456790123457,0.1467601761719409,0.141135883150392,0.020921825519628755
Stacking (RF+XGB+LGBM),0.14814814814814814,0.13268903920621972,,
Random Forest,0.14814814814814814,0.14128476070248658,0.1546704915369362,0.030847658158130547
KNN,0.1388888888888889,0.13672812410917973,0.13383645926392312,0.020917432171562767
Gradient Boosting,0.13580246913580246,0.1337239291509893,0.1426572482363954,0.020050421666679977
