Model,Test_Accuracy,F1_Weighted,CV_Mean,CV_Std
AdaBoost,0.13071895424836602,0.10863778055550047,0.096448087431694,0.018040893423620544
Gradient Boosting,0.12418300653594772,0.12361640484713497,0.10374516859922697,0.02922490506695853
Random Forest,0.12091503267973856,0.12054283899158046,0.11608689857390378,0.03486370734328748
KNN,0.11437908496732026,0.11152356199009344,0.11520058643209383,0.02497784679185349
LightGBM,0.11437908496732026,0.11312610196256177,0.11851925896308144,0.03233462659318394
Logistic Regression,0.1111111111111111,0.11041996516545466,0.09640143942423031,0.021259776070175283
Stacking (RF+XGB+LGBM+KNN),0.10784313725490197,0.09672885718607492,,
XGBoost,0.10130718954248366,0.09986087900510712,0.11113554578168731,0.024465000118641212
