Model,Accuracy,F1_Score,ROC_AUC,CV_AUC_Mean,CV_AUC_Std
Stacking (RF+XGB+LGBM+SVM),0.5416666666666666,0.5074626865671642,0.5493827160493827,,
LightGBM,0.5416666666666666,0.5352112676056338,0.5320216049382716,0.4363520408163266,0.04390498074756416
AdaBoost,0.5,0.5135135135135135,0.5266203703703705,0.48239795918367345,0.04439911595170328
Logistic Regression,0.5138888888888888,0.5070422535211268,0.5046296296296297,0.5150510204081633,0.04634264025843207
KNN,0.5138888888888888,0.4262295081967213,0.5027006172839507,0.5339285714285713,0.03397601026046896
SVM (RBF),0.4722222222222222,0.45714285714285713,0.47453703703703703,0.4586734693877551,0.0845379450327131
XGBoost,0.4861111111111111,0.5194805194805194,0.45717592592592593,0.42474489795918374,0.04828947543876173
Random Forest,0.4027777777777778,0.4266666666666667,0.42669753086419754,0.45,0.0615565506129548
Gradient Boosting,0.4166666666666667,0.43243243243243246,0.41820987654320985,0.4295918367346939,0.061693832403934154
