Model,Test_Accuracy,F1_Weighted,CV_Mean,CV_Std
Random Forest,0.16772151898734178,0.1636596109278063,0.13708911386076741,0.036044149210929036
AdaBoost,0.16139240506329114,0.1180533893519995,0.15053743282089735,0.02616507632915719
Gradient Boosting,0.14556962025316456,0.14671459608368526,0.13315210598675165,0.018545067337653907
Stacking (RF+XGB+LGBM),0.14240506329113925,0.1359693412025833,,
Logistic Regression,0.13924050632911392,0.11645503287280112,0.16397950256217972,0.03434036451707031
XGBoost,0.13924050632911392,0.13825366891893948,0.13472690913635793,0.03608696849474554
LightGBM,0.13924050632911392,0.13678849869593915,0.14820647419072613,0.022615528436823774
KNN,0.12341772151898735,0.12206138129825025,0.13315835520559932,0.023372793630495575
