Model,Accuracy,F1_Score,ROC_AUC,CV_AUC_Mean,CV_AUC_Std
Random Forest,0.8194444444444444,0.8266666666666667,0.9158950617283952,0.8022959183673469,0.01940704598814152
KNN,0.8611111111111112,0.8648648648648649,0.9074074074074074,0.7505102040816327,0.07308172597432905
Stacking (RF+XGB+LGBM+SVM),0.8194444444444444,0.8266666666666667,0.9020061728395062,,
Gradient Boosting,0.7916666666666666,0.8,0.8881172839506173,0.7831632653061223,0.04055239924527405
SVM (RBF),0.8472222222222222,0.8533333333333334,0.8804012345679012,0.7576530612244897,0.05433733352165953
AdaBoost,0.8194444444444444,0.821917808219178,0.8726851851851852,0.7834183673469387,0.038783900810763286
XGBoost,0.8333333333333334,0.8421052631578947,0.8703703703703703,0.7762755102040817,0.038099983001392175
Logistic Regression,0.8194444444444444,0.821917808219178,0.8680555555555556,0.8137755102040817,0.04678184725745294
LightGBM,0.8055555555555556,0.8108108108108109,0.8564814814814815,0.7948979591836736,0.03726935177091774
