,High_Beta,variance (µ),,,,,,,,,Low_Beta,variance (µ),,,,,,,,,Mu,variance (µ),,,,,,,,
,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9
,id1,0.0003314100055,0.0001847045839,0.00001813635982,0.00001400975827,0.00006717595784,0.0003773633628,0.0000007073143306,0,0.00002606542382,id1,0.00001491422033,0.00006924625895,0.000006085292606,0.000005522171075,0.00005983457472,0.00009817044985,0.0000002516359536,0,0.000008631189276,id1,0.00001812003521,0.0001652048513,0.000007446510349,0.000008136301035,0.00008196262028,0.00009091610344,0.0000003936447224,0,0.00002716255179
,id10,0.00000006583997377,0.00006888730948,0.00000191333992,0.00001164832191,0.00002372737034,0.00005613211453,0.00006609022196,0.00004520068722,0.0000715035989,id10,0.00000000837632913,0.000004167667487,0.0000006926000518,0.0000137728741,0.00002392286058,0.00004348639804,0.00007127767773,0.00004391530598,0.00007342380074,id10,0.000000009198160737,0.000005963822476,0.000001500883316,0.00002690620541,0.00003353351053,0.00007084915777,0.00008051217623,0.00008831535736,0.00007169551676
,id100,0.00000145251947,0.000035455613,0.00001004228486,0.000007187728514,0.00001995756985,0.00005765559621,0.00005720786186,0.00004144873971,0.00006035526932,id100,0.000001005755646,0.00002033938516,0.000009444011333,0.000004286139152,0.00001836330027,0.00005934408521,0.00009232699024,0.00005989976026,0.00005282583479,id100,0.000001009785464,0.0000247427718,0.00002586816169,0.00001332653336,0.00001084779504,0.00005493979378,0.0001249871716,0.00005231755667,0.0001525770146
,id101,0.0002767996928,0.000076268977,0.0005650682109,0.0002357137201,0.00008815496334,0.0003166031354,0.0002817027378,0.0001667783395,0.0005661982845,id101,0.0002344789228,0.00003011653877,0.0003066920802,0.00009186410648,0.00007978568565,0.0001288493076,0.0001796743337,0.0001081473564,0.0002637494486,id101,0.0003198014957,0.00004743342566,0.0003526764258,0.0002222026544,0.00004082703353,0.0003247643855,0.0002473026283,0.0001463807522,0.0003332390579
,id102,0.0006726811574,0.0005951200553,0.0006494886745,0.0001581318518,0.0005066751108,0.0005659868269,0.001239882134,0.00007379889327,0.000008514456651,id102,0.0005326276128,0.0003170806501,0.0002248194184,0.0001147141572,0.0002229045735,0.0003425546072,0.0007957190083,0.00002680900092,0.000002627728677,id102,0.0004520962814,0.0002288805381,0.0006043530588,0.00007857908817,0.0005642204153,0.0007610367641,0.001091573041,0.00003221978987,0.000002109754684
,id103,0.001149426214,0.0006832735507,0.0005696216528,0.0001902850931,0.0008605850064,0.0006372417089,0.000545553253,0.00002172714506,0.0002160527664,id103,0.0003701963893,0.0004144789662,0.0003207321239,0.0001417120867,0.000330293651,0.0003639687029,0.0003181450944,0.00001840640849,0.00008964283226,id103,0.001817693516,0.0009761326201,0.002423432107,0.000683801952,0.001384668056,0.0008775787522,0.001258308173,0.00001267030337,0.0002126985908
,id104,0.0005356150315,0.0004792929142,0.0004895356559,0.0002999998346,0,0.0005511253976,0.0005464329413,0.0006114518654,0.0006026826876,id104,0.0004056965485,0.0002263015396,0.0004192570432,0.0002469063371,0,0.0002974530649,0.0003305076833,0.0005752891395,0.0003008867839,id104,0.0007991945274,0.001701527596,0.001854642402,0.0009587340402,0,0.001523008428,0.001999608265,0.001923186249,0.001331880759
,id105,0.0001421461609,0.0001777567433,0.00002651514217,0.0001268270367,0.0004497891043,0.0002789500762,0.0002365470776,0.0006017863923,0.0006447622287,id105,0.0001078563897,0.0002217822821,0.00002702350002,0.00007273703013,0.0002654479969,0.0002046793052,0.0002031959043,0.0004837219255,0.0004526398585,id105,0.0001338374434,0.0001729312258,0.00002486664546,0.00005001707842,0.0002949839181,0.0002238203479,0.0001834618994,0.0005704680514,0.0005139396663
,id106,0.0002844124574,0,0.00006192253166,0.0001165653562,0.000000009944804406,0.000001114242907,0.00008592334755,0.0003256817142,0.00002098263364,id106,0.0001525242224,0,0.00002152155037,0.0001241151356,0.000000005348134123,0.0000007670749819,0.00003655745018,0.0001191005015,0.00001351126006,id106,0.0004005750592,0,0.0000400844292,0.0002511747686,0.000000006382344057,0.0000008645102217,0.00008603343853,0.0002570112433,0.00002320493283
,id107,0.00008638707072,0.0008994411054,0.0005491895835,0.0008345213014,0.0007334337293,0.0004735417414,0.0008676145409,0.0006433694863,0.0007824564394,id107,0.00005323245938,0.0004690932945,0.0003542908762,0.0008494706181,0.0008644706403,0.0003007437539,0.0009060624718,0.0008107395815,0.0009983911552,id107,0.00007042852661,0.0009988929615,0.0008699995371,0.003187815127,0.002505360658,0.0007303412071,0.00223770601,0.0007797450736,0.001176890781
,id108,0.0001305195641,0.0004147003673,0.0002681731708,0.0004124744324,0.0003165375168,0.0003467431177,0.0001502155529,0.0004594693166,0.000265908896,id108,0.0000640221125,0.0002676721863,0.00008124708045,0.0001069144955,0.0001381891954,0.0001286941674,0.00005250055556,0.0003556429011,0.0001806342252,id108,0.0005361624859,0.0004565778565,0.0005842068227,0.0007374596276,0.000654046938,0.0009120837401,0.0000921172523,0.001367368578,0.0003045615679
,id109,0.0002164333063,0.000592394685,0.0004264962765,0.0002703306684,0.0001010468264,0.0005148503184,0.0003230008419,0.0005840239294,0.0003367717129,id109,0.0002471463613,0.0003860974899,0.000319450047,0.0001414864852,0.00004449495305,0.0003672240469,0.0001380505305,0.0004857222133,0.0002513943905,id109,0.0004405028348,0.0007943000503,0.001241356098,0.0007509616393,0.00007464851113,0.0005639895436,0.0004639602183,0.0008669217837,0.0008012792172
,id11,0.0003646923521,0.0001972171037,0.00002226064914,0,0.00003287436126,0.0004424109686,0.0002131683385,0.0002459116945,0.0002704425184,id11,0.0002192022028,0.0001052805929,0.00001162874659,0,0.00003222802877,0.0002597551137,0.0001414525054,0.0001240289902,0.00001495033082,id11,0.0006675404142,0.0004601652864,0.0000166076901,0,0.00007099326862,0.0005419833715,0.0009654875391,0.0005228801485,0.00003404725785
,id110,0.0005668704434,0.0004505628959,0.000621890406,0.0003814357068,0.00009787569938,0.0003745453666,0.0001392969996,0.0001591927481,0.0003649250323,id110,0.0004184394222,0.0001342489572,0.000550453618,0.0001858906277,0.0001172020047,0.0002760658671,0.00008064987937,0.00008061877826,0.0002233451954,id110,0.001921255358,0.001660158761,0.002084487376,0.001138399098,0.000115298881,0.0008374900812,0.0002392816797,0.0001206907596,0.0006336418288
,id111,0.0001988427367,0.0000004189829481,0.00009516847888,0.000156993567,0.0003023860213,0.0001224432406,0.0002102910962,0.0002754642155,0.0001823943637,id111,0.00005831489064,0.0000001018142595,0.00005184627003,0.00008000165154,0.0001023689954,0.0000636167692,0.0001257953272,0.0001030125825,0.00004611539917,id111,0.00007847993998,0.00000007195329368,0.00004424966908,0.00009834583393,0.0001079257889,0.00009036530895,0.0001028491021,0.0001330513103,0.00009238888335
,id112,0.0001410067395,0.00008772882069,0.00005880220851,0.0001815738612,0.0003339193597,0.00006667050634,0.0005270710616,0.0003967486649,0.0002482377826,id112,0.00002672340695,0.00002377346843,0.00004612881619,0.0001086923633,0.00008290083876,0.00002797364963,0.0002748195024,0.0001804427269,0.00022001538,id112,0.0001212779517,0.00005829049995,0.0002268583288,0.0001801223195,0.0003820039881,0.000062467003,0.0006927681034,0.0002184994362,0.0005120856328
,id113,0.0004494510153,0.0004469417361,0.0004977755428,0.0004571364578,0.0005566711714,0.0006332060751,0.0004677651223,0.0003258476854,0.0003075832257,id113,0.0003620967575,0.0002096396779,0.0001688502307,0.0002875944919,0.0003825527422,0.0003339513004,0.0003555563871,0.0002040683783,0.0002696315587,id113,0.001497996025,0.001193825786,0.002457700768,0.001882689389,0.002647993961,0.002377328511,0.002292527733,0.001132876666,0.001093429188
