,High_Beta,mav (µ),,,,,,,,,Low_Beta,mav (µ),,,,,,,,,Mu,mav (µ),,,,,,,,
,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9
,id114,11.66759965,11.99880402,10.37904578,12.68205843,17.43277664,20.75199268,9.478688231,8.478972938,9.622363399,id114,8.308785494,6.675169832,7.817246133,12.32232563,13.73719051,15.6927266,8.207253341,6.88318219,10.29876652,id114,11.03241307,9.039239361,10.4602266,14.83170232,17.06363327,21.855662,8.75795944,7.281673748,11.36702994
,id115,7.205302995,7.754318859,7.280227723,11.74933523,8.128351775,10.54980851,5.058762288,7.173192437,15.21142717,id115,5.208685463,5.28496679,3.866926458,7.75273339,5.932311025,7.375330923,3.849083676,4.768861252,13.2673457,id115,5.660097498,6.243747418,4.568802628,8.945847038,6.679673716,9.379335759,3.853837942,5.598377027,18.2091885
,id116,12.43290424,6.537691145,10.16413586,10.01095219,15.56815042,8.137755164,10.13895892,9.69904497,10.20637045,id116,9.739425222,7.757755407,7.860812109,8.978233764,17.50525636,8.921448482,9.302289542,10.49769986,9.954169114,id116,15.03762152,13.73740647,19.03877036,12.45894962,18.39557624,11.6500081,14.18278689,13.51870835,20.53308591
,id117,6.664517481,11.71002022,20.53115786,16.97652652,13.43487718,1.935548559,6.598847143,8.139296817,0.01239528105,id117,7.213478673,11.30787581,14.76705421,17.54156406,11.23779307,2.046780866,6.395043302,6.498842882,0.01117477307,id117,8.561037939,9.739168913,14.50472727,16.26032432,13.40616854,3.86163819,7.713143906,8.457403648,0.01747808223
,id118,10.51262958,7.693746711,7.403829052,8.083585804,7.636857834,8.821092289,8.295411056,9.245900092,6.786404032,id118,8.04550115,4.516767369,6.592554198,4.826684163,5.74953526,6.632337511,6.208973377,7.729717628,5.855333773,id118,8.091238751,5.020406236,6.233160361,5.098317938,7.639008015,8.080021403,6.446081886,5.405937335,6.027159823
,id119,15.88476143,12.63598015,16.3057291,12.0428639,13.22451523,11.15827497,12.21802553,17.42486541,9.490689151,id119,15.57480927,13.27378117,18.64011629,10.57612014,11.15358702,11.16743139,15.62282735,15.04206175,9.513746131,id119,20.76075021,19.39871361,27.78178387,23.69195014,24.63664753,22.19269007,22.92299894,23.85757836,17.65304865
,id12,18.36360305,9.003579971,7.329299596,2.533935085,13.23493877,0.0001303920791,21.34663308,15.19986536,6.252485882,id12,11.59627289,6.941395365,7.183822498,0.8497845585,14.32253381,0.0002320349777,15.6384465,16.77665594,5.89687001,id12,18.53584751,5.761400462,9.00460562,1.177172879,16.29533989,0.000485587899,21.92340595,19.06052461,5.999329092
,id120,13.86702883,15.66221312,2.841990811,11.57895121,18.49993092,11.12233312,17.80156535,16.16846322,14.78178253,id120,12.37397694,11.5358397,1.872381193,11.21466117,15.15006274,8.858968603,10.7344178,10.63786867,12.48972337,id120,12.57256637,14.67848329,2.164134728,13.87833781,19.1065476,15.7387628,15.26518454,22.54892357,18.40809981
,id121,14.27463517,13.54203508,12.76462185,14.14610188,15.03014851,13.50984289,15.56074881,0.6911128748,8.330994702,id121,12.4989658,8.670054589,11.77934865,10.10499299,12.34728496,12.08322156,12.82984826,2.497876561,11.52859009,id121,14.72381864,10.86476701,16.82628452,12.46677006,12.41018385,13.96514918,16.1329304,3.264888299,7.152462533
,id122,13.70447255,12.94549086,13.42535491,10.64387974,9.589498103,4.960780119,7.996680614,6.686297408,13.46570878,id122,10.06238202,12.4464424,11.17985148,14.73042474,10.1846056,5.309510502,9.5426396,9.135436546,12.4684475,id122,14.88919704,14.19078313,13.43075311,11.56106206,10.70958974,5.00895453,12.63719602,6.806307845,19.04723672
,id123,17.0511405,14.09465929,17.46282779,13.10340707,17.91323062,0.7958913526,17.51261112,21.55152901,17.01618574,id123,15.04209718,9.461644833,17.60792935,12.67466677,14.80261972,0.6334334592,11.94441924,16.51681918,12.26564515,id123,18.87128833,11.0826094,24.47914711,16.53808871,20.20482612,0.7681199825,14.69380638,21.95688276,22.5440598
,id124,17.2761101,3.253929533,12.74101761,0.000008755672256,6.127293059,12.99426218,9.115263294,6.683919577,0.4950578506,id124,11.98086358,2.438878672,7.953694554,0.00001535145341,4.851056725,7.426908668,6.182302912,3.899996144,0.7689627041,id124,15.29029232,2.564066234,9.801104124,0.00002711100781,5.338642826,13.68718707,6.74213503,3.235983157,1.037495953
,id125,16.54344974,21.15993325,14.21019747,17.62527117,17.11207338,20.19225951,17.80015602,12.04891625,19.05588332,id125,12.16433985,14.58518019,12.59783425,12.9746378,15.19358447,17.09059892,18.32267551,11.49440601,17.41493362,id125,17.15838157,23.57050426,10.05713485,17.9408999,28.51823407,25.34091106,22.37833347,20.29937988,27.91064729
,id126,17.93728023,19.76064427,13.49544229,17.73262087,10.69054078,9.871082318,4.64014055,12.28339303,3.281570573,id126,16.79470659,9.902033136,11.31081895,14.10978597,7.679888082,6.602251344,4.675778837,9.512003989,2.567300733,id126,14.55095569,17.83547078,14.07018221,17.29941065,10.04021844,10.76828857,5.79903796,10.40521359,2.199664388
,id127,19.76064556,16.69889049,19.06471228,17.03968544,19.60998572,2.808306073,11.34394389,10.21769098,7.285341131,id127,15.71936861,15.24843129,12.42686456,13.28223754,14.75670545,1.880092974,9.492383517,7.834409073,9.492094357,id127,18.05472894,18.93872072,16.37784441,12.45520072,19.43138275,2.132012649,10.16357713,8.663652692,10.61381572
,id128,19.42743452,16.52411305,18.65373089,20.96676449,13.4240683,11.13742665,18.45852172,1.894444457,22.4268582,id128,16.33115508,10.44010023,12.77698348,16.41859104,11.5947605,7.427997417,12.09241073,2.376771561,13.37219987,id128,21.95638813,13.8393718,15.20521114,20.33478852,13.08377091,16.7828399,16.27096726,3.784789406,20.95152391
,id129,16.99551878,13.91364103,9.868917033,10.49835137,13.78791522,15.39580555,8.489389429,14.02385054,7.802801073,id129,11.59725689,11.01364748,7.203900266,5.206816385,8.667337754,12.59623664,8.200337608,8.331555962,4.481883225,id129,15.55060144,15.84413365,8.197156444,9.303308822,14.43783534,13.55268114,7.178232632,13.07044084,7.797682508
,id13,0.001167145304,1.285030846,10.10016349,13.89211422,9.683884926,9.911788834,6.789980781,9.428339985,7.607862581,id13,0.00304613352,0.9039881754,12.46016616,14.07986947,6.593948655,11.57516479,3.519553208,7.863474069,9.994431477,id13,0.005271562561,1.237536532,14.62077084,18.31607723,7.068635829,10.49733062,2.883583631,7.722136378,6.286049253
,id130,0.000000524757034,3.370633498,7.375596522,0.08881458091,12.78440117,6.726303844,3.836504181,13.83098468,19.15876409,id130,0.0000008495999341,1.074343318,6.063413098,0.08942321918,9.161061502,7.711004119,3.428741247,9.003849044,17.08357992,id130,0.000001204636027,2.639968459,8.266441924,0.06277202196,12.47098554,5.141106709,4.408823774,13.48032072,23.08398098
,id131,3.773696438,1.595992689,12.35663583,17.00504907,5.506698629,14.10090601,21.50214756,1.53756939,6.203909423,id131,2.690616619,0.6804566803,10.47287203,12.66773221,5.506630092,15.75779553,14.54686335,1.712154199,6.206274856,id131,4.289555712,0.850514769,14.58041682,12.80891389,7.247660586,13.32846146,23.35406528,1.762980104,6.62258801
,id132,4.264652949,11.65110235,14.32642157,16.02000696,7.987393069,9.806729416,15.28404293,2.419414197,8.392316395,id132,4.162250591,7.914272404,10.84560354,17.03195732,8.084369037,7.432518968,10.96975059,2.963536451,8.841434363,id132,6.746623094,21.34328795,15.00890243,21.70458398,13.67243532,15.71375727,18.9122406,2.236715029,14.35939524
,id133,10.1760005,9.422224015,10.98288329,16.03581593,18.90913457,12.63749246,7.132360955,2.446031924,6.588631153,id133,8.528583697,7.638921424,9.967675267,12.95146412,15.34286681,12.01646559,8.783097463,3.503273999,5.038639119,id133,10.14227488,11.14049888,13.5857225,16.24964596,15.44072487,15.91893739,10.34705123,3.074430163,5.711862723
,id134,10.56945509,14.39678031,15.38647803,13.21548561,8.704404292,14.70901864,10.61644364,12.49233562,12.02244144,id134,5.589271516,9.364018811,12.27300929,8.852807678,4.714580264,10.45254428,7.885868384,10.50754716,8.259109101,id134,7.479665508,11.16634067,11.37317143,8.399788852,5.470536527,11.51586871,7.975621823,7.32852224,9.503644321
,id135,16.62780308,18.03905809,15.53191419,11.1750047,14.22627638,15.54459727,6.686196113,16.57851185,9.77232406,id135,15.21664868,16.49313742,13.29170964,8.778311145,11.85930336,12.11770069,7.412150442,17.42528262,12.17862863,id135,21.24470978,23.95102206,17.8818705,20.47275853,22.19626852,16.82699795,7.225466897,26.28535188,17.86858818
,id136,17.02498209,15.08702615,17.0469967,17.30420883,12.58613128,9.250229493,11.7767571,9.942422558,13.16355106,id136,11.05476625,12.02631262,14.46163099,12.39345762,11.41103126,9.683228008,13.56855382,8.680959494,13.01847655,id136,21.64227624,21.77357821,22.46420484,21.77748473,24.86198848,11.73552431,22.15592893,16.2999755,24.34136468
,id137,15.6409062,13.80591525,3.110405488,13.69680014,15.89805502,6.78615858,10.83637159,18.0536148,3.438952463,id137,10.11164414,7.919021356,1.923025925,11.08717733,9.645253384,4.37846318,7.38491509,11.39189758,2.526865969,id137,14.19584492,8.183735913,1.27390741,13.44925785,9.612551859,4.17843816,7.752379408,10.90934047,3.107204229
,id138,21.55934614,16.30013297,19.54710408,16.04028768,15.53431223,19.694781,12.99071636,6.280237992,16.11164335,id138,19.25725755,16.7091607,16.65652647,18.00876171,15.66456662,16.85345853,15.14167274,5.572699313,15.89854304,id138,22.70300528,21.00534241,18.94393493,16.66274235,18.57583384,19.49925236,17.94812727,7.999478307,14.1821918
,id139,16.63378356,18.46996533,20.74802557,12.01875464,17.38803519,18.2603717,16.98206706,11.50710616,17.74034163,id139,13.28693817,15.77763194,20.2673476,13.5050957,16.66639566,13.63512269,13.4131328,9.561943659,19.00349697,id139,13.77184446,15.05807697,21.07620441,14.03107023,22.28988178,17.05117878,19.62365094,9.971515761,23.83011863
