,High_Beta,mav (µ),,,,,,,,,Low_Beta,mav (µ),,,,,,,,,Mu,mav (µ),,,,,,,,
,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9
,id114,12.6105253,11.68682279,17.38341635,16.59212565,19.26186964,21.1211587,16.88784467,9.448919187,17.3819349,id114,10.67939724,9.657126929,10.9189784,14.2613443,15.79387485,22.90427626,15.15235817,11.87958574,17.95157525,id114,18.22844302,15.9599973,23.70430826,19.78236719,38.21204947,36.10929253,25.77684282,17.93158926,35.18930197
,id115,6.47439296,16.13914081,7.763154582,7.759229563,15.18889101,13.40422441,4.758595916,3.11755842,20.0106133,id115,5.455605644,12.42307221,5.428302525,6.75576335,12.45499357,12.28774389,4.193486074,2.982495543,17.89585654,id115,5.425778545,10.19110659,4.639357764,6.101324225,12.54209061,13.40624698,3.363984484,2.896676455,17.0217958
,id116,12.42193631,12.64322919,17.96368665,12.81156317,16.62426295,14.35385931,14.32391422,20.1814926,14.60049883,id116,10.92827345,11.02407745,14.59616789,14.15326285,17.76546043,12.0744869,12.2853073,17.3702101,10.7438518,id116,19.42703856,22.30583649,35.21912467,24.46394154,41.18358995,32.03858236,30.0691082,42.4494121,26.97963468
,id117,13.87702669,15.96710358,13.48042244,19.60288525,2.145130917,3.606262417,19.87152441,6.143665369,12.67266434,id117,13.36767343,12.51086384,16.72018674,19.90116845,3.008002847,3.348258773,19.95712128,11.28647566,13.23067772,id117,14.36831659,20.93421291,13.26403771,19.40232652,2.837324455,3.875286136,17.88927376,8.943471191,14.9084647
,id118,9.052634204,10.00701581,7.380902974,7.943770274,8.200646913,7.750779603,5.565155868,8.428059902,6.327896924,id118,6.349143729,8.032124073,3.653079062,6.816481296,6.032379857,5.530794887,4.393452796,5.951289528,4.013426121,id118,9.094887099,7.022766903,4.304148621,6.326266219,5.980492826,6.221779548,4.83108191,6.837889686,4.812986145
,id119,6.683655988,21.11365566,22.01300707,18.49787943,23.67523146,17.17934787,19.19511162,22.05369104,18.05923299,id119,5.991064642,14.54201435,19.8379828,16.73136718,17.44962849,19.82549832,19.41450623,15.96391578,12.07327906,id119,10.67204588,42.26219357,46.4508883,44.97786101,51.29871686,37.29297031,44.79058426,42.00009435,29.60873286
,id12,21.79183183,3.573987749,2.883149537,7.856454012,20.46126685,0.00008210008937,17.75191136,13.7847529,1.806984999,id12,13.90884498,2.429512243,2.220996065,4.385075136,13.7483945,0.0001701786987,13.88748378,10.1107285,2.104414858,id12,21.16473183,2.914013683,2.545836889,5.264188794,24.29894925,0.0004499948756,20.06420313,14.74907815,2.093996129
,id120,11.91519081,16.00119678,4.041381639,19.32287828,18.6830428,22.661296,12.52814186,19.39997773,17.93873137,id120,10.74541841,12.71146745,5.085349142,13.80680599,16.24460318,18.39902524,13.92799224,15.74836047,13.31075594,id120,21.51407153,24.63979717,5.330219796,44.9058642,44.35874826,51.2662966,28.62206684,33.19034121,27.4879245
,id121,16.15214033,11.62286467,16.08152702,16.06633903,17.74536926,16.05454933,14.87419959,3.185211345,15.27917207,id121,13.59919938,10.32924197,13.141538,12.17880855,14.45531041,16.67080245,13.10233109,2.693846501,15.75436633,id121,24.29744183,21.57699748,19.49720512,20.2207933,25.16512954,27.80924988,21.02171611,3.67700115,27.0341159
,id122,25.95196597,19.3524209,14.41316444,15.5451277,9.780844946,0.02611789782,14.25255033,20.85728139,11.84208666,id122,16.33332767,14.30196395,11.35354681,12.27556013,10.58551099,0.06888362348,15.44841397,15.07013241,11.28363521,id122,53.0238006,31.62914853,23.72897296,20.71725237,12.40732354,0.09313824065,30.37712642,31.95054408,18.58392062
