,High_Beta,variance (µ),,,,,,,,,Low_Beta,variance (µ),,,,,,,,,Mu,variance (µ),,,,,,,,
,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9
,id1,0.00008879493958,0.0001118458638,0.0001485202693,0.0000134390492,0.0001596719806,0.00008014845573,0.00003468768318,0.00000004015087893,0.0000191415944,id1,0.00003444332171,0.00008795059585,0.00004813790988,0.00001352162222,0.00005098559415,0.00003055726469,0.00001055350157,0.0000000296328631,0.000003287107386,id1,0.000054688663,0.00007253137787,0.00007643701247,0.00001529453717,0.0000983910859,0.00004060584925,0.00002874177943,0.000000031969218,0.000004119644927
,id10,0.00004410285434,0.00008058329861,0.000004230694921,0.0000171740906,0.00006925824541,0.00004539524559,0.00001693113495,0.0000195773785,0.0001039859033,id10,0.00002983580432,0.00005223473049,0.000001874538414,0.000003118715853,0.00001853021779,0.00003744091622,0.000004018284736,0.0000367851038,0.0001347012333,id10,0.00005168379134,0.00009893318425,0.000003421209041,0.00001751666492,0.00002705131571,0.0000640156316,0.000004315256402,0.00005635674107,0.0003283240409
,id100,0.00001850720418,0.00007443212288,0.00008659379389,0.00004895543793,0.00004092737737,0.0001123816861,0.00005517067856,0.0001039625675,0.00004388303399,id100,0.00002406741591,0.00004654427189,0.00006467482273,0.0000261717701,0.00003370412954,0.00009059077874,0.00006737920386,0.00005550133676,0.00005014821949,id100,0.00001417248293,0.00009027335529,0.0001387025486,0.0001303262297,0.00003318013282,0.0001654663452,0.00006221174039,0.00009308793157,0.00007633198581
,id101,0.0001178400861,0.0001639496639,0.0004696018913,0.0001799254793,0.0001235112572,0.0001455236733,0.0002152033481,0.0002521416069,0.000198691691,id101,0.00004468024583,0.0001410338668,0.0002309585409,0.00005103441516,0.00004719876876,0.0001053941892,0.0001296678137,0.00007960158373,0.0001180043473,id101,0.00007430882071,0.0002286444103,0.00017032516,0.000112785669,0.00006947065585,0.0001018981238,0.000136218821,0.0000862961911,0.0001293773607
,id102,0.0005541200782,0.0003815728849,0.0004949175478,0.0007345063677,0.0003579044246,0.0007345976993,0.0005018874808,0.0001006159293,0.00003375681044,id102,0.0003508564742,0.0001398331232,0.000343528018,0.0002915446188,0.0001699441933,0.000257468343,0.0003045281139,0.00004460198042,0.00001217532669,id102,0.0004113614815,0.0001898177851,0.000442117359,0.0006022060026,0.0002983079568,0.0005061779098,0.0003908903245,0.00004912474998,0.00001330300602
,id103,0.0004851872268,0.000437637751,0.0003424071,0.000383639343,0.000569889938,0.000435102234,0.00009051322144,0.0002812438444,0.0002943846287,id103,0.0003194241131,0.0005150819142,0.0002801838347,0.0001795001282,0.0003053360583,0.0003241930518,0.0002559087506,0.0003009023924,0.0002880501908,id103,0.0004401631602,0.0005562496763,0.0007196447443,0.001054694645,0.0006071392043,0.001450930913,0.00007272325565,0.0005728830404,0.0009783846747
,id104,0.0003396431145,0.00047194298,0.0004892472471,0.0001510454614,0.000170300359,0.0003941492236,0.0002105444162,0.0002891051701,0.0003979412815,id104,0.0002632793997,0.0002250292325,0.0002959121057,0.00009195427523,0.000164499687,0.0002378357198,0.0002269454362,0.0007087453824,0.0002168114769,id104,0.0005516537989,0.0002883755544,0.0005573836132,0.0002077638011,0.0002875244353,0.0006596698955,0.001082334414,0.0005396447458,0.0003396470882
,id105,0.0001384797149,0.0001665113356,0.00004459743361,0.0003303746296,0.0002848397849,0.0002847104362,0.0003211205706,0.00039845927,0.0005338609393,id105,0.00006808508196,0.00005940605867,0.00002366431882,0.0002113833812,0.0001879969345,0.0001654025212,0.0001888316845,0.0002008083668,0.0007733599858,id105,0.0001059165971,0.00008781657869,0.00002511576395,0.0001662691657,0.0001713843047,0.000126241965,0.0001342266569,0.0003099928343,0.0003754784758
,id106,0.0001576646444,0.00001761846611,0.00004375088629,0.000208835168,0.00007697265718,0.0002164920154,0.0001921164704,0.0004900909222,0.000064546881,id106,0.00008328372275,0.00003128552105,0.00001659318057,0.00007100982477,0.00002931223407,0.0001429474225,0.000172994942,0.0002433510427,0.00002722292478,id106,0.00007875664679,0.000004464853249,0.00001478932691,0.0001045760454,0.0001004769049,0.0001025497007,0.0001796516574,0.0003478578129,0.00003222669155
