,High_Beta,mav (µ),,,,,,,,,Low_Beta,mav (µ),,,,,,,,,Mu,mav (µ),,,,,,,,
,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9
,id114,11.11345757,9.969332002,15.17856254,13.48623416,4.974635313,17.06650117,15.44631753,7.865659766,17.3183664,id114,8.98167092,7.01355702,11.80210224,11.9105969,4.073102851,16.99982449,14.71879962,5.475390907,18.94360412,id114,16.48353877,13.83045579,22.18039889,22.20774298,6.020676166,27.43716871,23.96867493,8.61932971,26.35020683
,id115,11.89168778,12.58923934,7.562211116,6.923013197,10.69087151,15.60407365,5.845230204,2.718408438,13.81496344,id115,9.396260453,8.07719584,5.473771883,5.463264184,8.434725962,11.68617633,5.464982245,2.358962318,9.284137231,id115,10.29825856,7.47445556,4.667828438,6.169748885,11.55599907,9.316046999,4.704536301,1.621310091,11.42541796
,id116,11.33918129,12.14893976,12.84761038,14.29091231,11.67474443,14.75977263,11.71805915,14.39403296,13.38417657,id116,12.04736095,9.057671293,12.16759972,11.35199644,12.11750669,10.72901107,14.08780826,13.56635278,13.57775251,id116,17.82462082,16.74202876,23.81755661,24.43139048,18.79930908,30.5750322,21.50039514,24.13010444,25.78811628
,id117,9.604540661,13.21140119,22.77112947,18.27472851,0.8557303548,3.913764213,8.835782124,6.90067757,21.66314355,id117,6.506739425,11.49173339,22.56459345,16.93895282,1.78070329,4.798585784,12.46369123,5.353109811,20.17520921,id117,9.479368718,16.48575823,21.1474348,21.62014277,2.029029869,6.016999853,11.06092324,6.27062512,30.45017253
,id118,7.558680816,9.38024598,6.528021877,8.636637732,7.300441775,8.410888564,4.690010057,8.526366332,5.230448571,id118,5.780997335,8.181453494,4.724545962,6.497734532,4.819353051,5.997453642,4.568050888,5.812565618,3.956020403,id118,6.155153534,5.873438306,4.079750274,5.987663937,5.067193321,5.407441575,4.490216068,6.767659312,4.497887864
,id119,12.19996673,18.96459153,21.58280195,22.89869167,21.52732076,19.27789018,21.30391101,21.72427195,18.74934172,id119,9.117107959,17.27142596,15.88203102,19.1911066,20.4130326,17.85123226,19.2247956,15.40236657,17.69810237,id119,23.80061496,46.05347698,50.22075586,45.1073354,52.63338347,43.23446599,56.74417643,50.69996965,32.7325952
,id12,7.062813438,12.15560632,4.284417596,5.928256119,7.060048139,2.572174254,5.14338243,8.129652451,1.85313491,id12,6.327180947,9.623660923,2.741747357,4.304948821,6.780801576,3.309671214,2.95191668,8.331731743,1.133617487,id12,8.01547586,9.004419195,3.179573743,5.39759596,6.18254589,4.269392712,4.156092519,9.977270458,1.252687798
,id120,14.62374827,12.93981673,3.482341078,20.76031022,19.19376505,20.51765874,17.55205396,15.48493438,18.59613843,id120,14.44970814,11.14721774,2.580533291,17.60740148,20.5757484,17.07036178,14.7973749,15.34301435,15.1834897,id120,33.65261947,26.37107931,3.364168615,41.10403885,41.02724272,45.9581618,30.35180071,29.03156337,34.21811314
,id121,16.67612558,16.85184748,17.82771343,15.34650433,18.83184201,10.40980916,15.27210979,3.870704463,13.98811105,id121,11.73579398,12.54201558,14.86065814,12.39225096,14.13114943,9.394053374,12.66842014,3.50555554,13.73420503,id121,26.09722332,24.68595052,24.8192229,18.244212,26.95189716,15.05503277,18.02026327,3.523747658,26.17150744
,id122,26.11421827,18.56219907,14.92288319,13.40937277,11.11606948,0.02957235542,0.7904291726,19.30743335,12.62305132,id122,17.77767273,12.75779107,11.3223234,9.820179526,11.27840369,0.07826396731,0.6494941669,15.5674682,12.27271843,id122,45.6259663,34.03701008,23.41862629,12.71387453,16.39045605,0.1055552455,0.8938915266,31.37577594,18.50817076
,id123,16.85035468,7.198375198,21.81710662,16.02704699,17.76516278,1.44683648,18.6517043,17.68039136,8.67970116,id123,15.77204287,7.681874148,16.30747516,17.27899431,15.35407994,1.421307986,16.87121898,20.66849245,10.42822405,id123,22.65970465,11.00116618,36.54371011,18.93753586,27.73948061,3.651513486,33.92634738,34.93765109,17.56029093
,id124,6.974463276,0.08534608511,4.650544221,0,4.695193978,17.85137657,1.242891598,2.508238892,0.00002051872708,id124,6.522666067,0.0981175836,3.705278293,0,4.091483186,15.7404386,0.8443584884,1.30665395,0.00005092770494,id124,7.356510985,0.0936143858,4.928833414,0,4.140153935,20.4601023,1.217485028,2.186113728,0.0000722187915
