,High_Beta,mav (µ),,,,,,,,,Low_Beta,mav (µ),,,,,,,,,Mu,mav (µ),,,,,,,,
,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9
,id1,17.03752668,7.4109411,3.40206745,3.402711285,13.18829339,1.533478305,0.02317392464,0,4.800134424,id1,4.548446369,5.280881248,2.132839766,2.077311552,13.07453094,0.8328329241,0.01733287332,0,4.094095079,id1,5.605410449,5.394629638,2.096333111,2.397787865,16.76191154,0.787138551,0.02188608465,0,5.855863433
,id10,5.133835183,5.955989589,12.64926291,0.6198813651,9.87386105,10.72076865,3.587236757,10.63784039,11.49825893,id10,4.915357706,5.41328664,10.40205501,0.1721984874,10.18269641,10.07519317,3.368564016,7.235422594,8.629175394,id10,5.274314346,4.884702251,12.35987083,0.1735977105,14.94804328,11.88281557,3.911400942,9.062636173,11.44684241
,id100,7.263757293,5.590661777,4.736618653,8.382191247,7.00402733,14.81687975,21.86650098,12.67554759,20.8706935,id100,8.886958789,4.127516885,2.02838249,10.085355,7.022678596,15.42521214,27.43645836,11.95702473,23.70247162,id100,7.849048573,4.092077739,2.780936679,14.62858532,7.160493918,17.53101127,43.85128452,15.49481262,35.50304681
,id101,20.60666387,14.97691266,13.01974387,11.7938537,9.521201041,15.56720206,11.1006517,22.697138,22.70622808,id101,17.73937423,9.313235567,9.349738463,6.168291795,7.591125348,12.07173976,8.859388603,15.64400831,16.31713854,id101,23.09496285,13.57194786,11.62549092,7.822206912,6.940021727,19.52953386,11.0707202,21.11347452,22.26992105
,id102,22.811787,17.82254301,25.97027156,9.891340393,17.33770555,22.61688344,18.68139915,16.22297322,16.2220166,id102,16.50708372,13.21413707,14.77202939,5.538733438,13.94002243,16.77772085,16.27231664,10.61448983,7.539122736,id102,18.38452733,12.98214017,23.48650231,6.383946828,17.86944643,23.44822505,15.85034293,12.61248488,10.95407904
,id103,16.48149144,12.90504263,14.14662365,15.69833343,20.13973726,17.32661476,18.06938154,3.003848823,11.53582437,id103,13.21680084,10.6021116,14.61566095,12.74806513,15.57994885,17.46641986,13.44740816,2.865066487,11.02243837,id103,28.47369637,16.4173479,25.95263628,29.91190105,30.6234495,23.38996102,30.07043574,2.949217147,18.15095223
,id104,12.35783525,18.2491684,18.92485011,19.83518189,2.52985006,15.53462525,12.42354487,16.43265844,14.41503573,id104,17.13486467,15.61012389,18.00989328,19.39689331,2.625762651,12.99907099,11.76402087,17.37585133,13.93105143,id104,20.36689839,45.11957533,38.41919539,35.65090743,2.847970026,31.18845915,22.13594529,35.67988815,24.08555985
,id105,7.195797545,7.246753741,5.771641074,9.598187266,16.23714127,15.14519211,15.35293144,18.41771286,16.72472893,id105,7.343623982,6.703910591,4.707554897,9.565524589,12.51902893,12.89326297,12.18670061,18.81731867,19.48653932,id105,6.348401721,5.582944106,4.804603079,10.01917924,17.17205476,13.6140048,10.34247496,17.983372,22.47586142
,id106,19.35415037,0.00004584440552,4.577325975,5.292499626,6.876432389,10.84826231,6.766488046,15.01900345,7.749959708,id106,15.51151861,0.0001687747935,3.511910907,3.98237822,3.879049473,8.670561396,7.287560139,8.890993767,5.181107548,id106,18.53477767,0.0003243573294,3.523928023,4.687813443,2.968281837,12.06680942,8.105602358,12.65114433,5.147475528
,id107,18.39195121,22.19853592,17.80892264,13.61207185,21.7398401,18.48912186,20.24130017,19.18415812,20.70774055,id107,17.24331293,16.82352885,13.10023931,15.60832664,27.23880684,17.03299292,23.42216189,12.95981656,18.54955463,id107,26.35791619,23.91125069,22.39849187,23.65527814,41.58421268,21.99187725,30.59422215,11.81705202,26.71394211
