,MAV_mean,MAV_std,MAV_min,MAV_max,Var_mean,Var_std,Var_min,Var_max
S1 – Lift Left Hand,11.6183561224193,7.783610544335308,0.0,53.0238006,0.00037348860538062844,0.00044632957599221364,0.0,0.003855484261
S2 – Lift Right Hand,11.076212730975644,7.7855267334912375,0.0,56.18867134,0.00035640893655146784,0.0004402881390647991,0.0,0.004288156169
S3 – Lift Left Leg,11.439959080670755,8.069589968348359,0.0,60.52284905,0.0003743045515176452,0.0004927715975010585,0.0,0.00475309258
S4 – Lift Right Leg,11.045870751284347,7.821355185513507,0.0,53.86457771,0.00035916975090101514,0.000457279593102392,0.0,0.004267481787
S5 – Open Mouth,11.128156058769083,8.518282298072068,0.0,57.85944361,0.00038020500027923247,0.0005227686733505173,0.0,0.004648790446
S6 – Nod Head,10.9654781266478,8.421773567173691,0.0,61.37324606,0.0003684726608291456,0.0005078662082441233,0.0,0.005124083822
S7 – Shake Head,11.147560078702341,8.149196473709669,1.945634572e-06,56.74417643,0.00037781246494248213,0.0004871089752080986,0.0,0.004375154114
S8 – Want Water,11.656413227143572,8.029398482623977,0.0,53.50999995,0.00039179846438857426,0.00047513528704330315,0.0,0.004079288033
S9 – Use Bathroom,11.814858172978164,8.163928517839912,1.264215362e-05,60.28516353,0.00040263964594197264,0.0005091284871388313,0.0,0.004735042208
