subject_id,scenario,scenario_num,resting_C3_High_Beta_mav,resting_C3_Low_Beta_mav,resting_C3_Mu_mav,resting_C4_High_Beta_mav,resting_C4_Low_Beta_mav,resting_C4_Mu_mav,resting_CZ_High_Beta_mav,resting_CZ_Low_Beta_mav,resting_CZ_Mu_mav,thinking_C3_High_Beta_mav,thinking_C3_Low_Beta_mav,thinking_C3_Mu_mav,thinking_C4_High_Beta_mav,thinking_C4_Low_Beta_mav,thinking_C4_Mu_mav,thinking_CZ_High_Beta_mav,thinking_CZ_Low_Beta_mav,thinking_CZ_Mu_mav,resting_C3_High_Beta_variance,resting_C3_Low_Beta_variance,resting_C3_Mu_variance,resting_C4_High_Beta_variance,resting_C4_Low_Beta_variance,resting_C4_Mu_variance,resting_CZ_High_Beta_variance,resting_CZ_Low_Beta_variance,resting_CZ_Mu_variance,thinking_C3_High_Beta_variance,thinking_C3_Low_Beta_variance,thinking_C3_Mu_variance,thinking_C4_High_Beta_variance,thinking_C4_Low_Beta_variance,thinking_C4_Mu_variance,thinking_CZ_High_Beta_variance,thinking_CZ_Low_Beta_variance,thinking_CZ_Mu_variance
id1,scenario1,1,5.082302137,3.395973984,3.931532545,4.15143153,2.680948701,3.282657196,6.597785932,2.703202638,3.467530577,13.16664599,2.781926162,3.048139877,17.03752668,4.548446369,5.605410449,14.12323247,4.450526934,5.355470865,8.879493958e-05,3.444332171e-05,5.4688663e-05,4.427828272e-05,1.81846167e-05,2.646315822e-05,0.0001282090953,1.514065826e-05,2.423415743e-05,0.0003314100055,1.491422033e-05,1.812003521e-05,0.0005088294842,3.613534024e-05,5.334165125e-05,0.0003764201811,3.275903869e-05,4.458733684e-05
id1,scenario2,2,4.768486319,4.775144608,5.059984854,6.775944248,5.739713728,8.009283497,4.79895066,4.849762331,5.932599444,5.667414316,4.110266207,6.111616826,7.4109411,5.280881248,5.394629638,4.70244611,4.856669731,4.766055452,0.0001118458638,8.795059585e-05,7.253137787e-05,0.000201026006,8.559217731e-05,0.0001725335455,0.0001534967512,7.425248958e-05,0.0001084631324,0.0001847045839,6.924625895e-05,0.0001652048513,0.0002710458251,0.0001036254373,0.0001057977516,0.0001679554256,0.0001482393001,0.0001154862916
id1,scenario3,3,7.801122902,4.832168897,6.064388067,4.488198155,2.962759234,3.263121196,11.3250744,8.119140781,8.995475626,2.702330442,1.664664989,1.849646406,3.40206745,2.132839766,2.096333111,11.47436485,11.18281961,10.87942112,0.0001485202693,4.813790988e-05,7.643701247e-05,3.9877359e-05,1.578318491e-05,2.039707048e-05,0.0002978896001,0.0001352229579,0.0001554705407,1.813635982e-05,6.085292606e-06,7.446510349e-06,2.900146316e-05,1.097485167e-05,9.885784818e-06,0.0003194507974,0.0002627880318,0.0002584858268
id1,scenario4,4,1.594918708,1.535426044,1.976480405,2.020131772,2.16241275,2.206693704,4.092029418,4.156824376,4.048733507,2.714371692,1.764158244,2.017124052,3.402711285,2.077311552,2.397787865,10.27935113,7.529528176,8.395547701,1.34390492e-05,1.352162222e-05,1.529453717e-05,2.668936669e-05,2.407166029e-05,2.236398123e-05,7.92188178e-05,7.55892933e-05,8.096092499e-05,1.400975827e-05,5.522171075e-06,8.136301035e-06,2.467101078e-05,8.671613731e-06,1.112053514e-05,0.0002483648113,0.0001088447931,0.0001427599747
id1,scenario5,5,5.482535646,4.243839758,5.650069068,8.505770718,3.475707858,5.100157777,3.686032756,3.18568422,5.494267,3.074627365,3.929368791,4.396202496,13.18829339,13.07453094,16.76191154,14.25101148,10.61757472,14.51441432,0.0001596719806,5.098559415e-05,9.83910859e-05,0.0004824929988,4.698271165e-05,9.451971231e-05,7.786981945e-05,3.105291229e-05,0.000121239031,6.717595784e-05,5.983457472e-05,8.196262028e-05,0.0004236810271,0.0003106557027,0.0005769594137,0.0005471683107,0.0002351424744,0.0004638069383
id1,scenario6,6,4.407749867,3.166919414,3.17961569,0.89032942,0.6285964865,0.8068075113,1.14346254,1.022043489,1.122526312,12.39614264,6.465203396,6.342204395,1.533478305,0.8328329241,0.787138551,2.354475702,1.22680926,1.238177854,8.014845573e-05,3.055726469e-05,4.060584925e-05,2.536007787e-06,1.27991774e-06,2.741847505e-06,4.944446137e-06,4.205024678e-06,5.758491097e-06,0.0003773633628,9.817044985e-05,9.091610344e-05,4.943933997e-06,1.449869714e-06,1.166616904e-06,1.035045009e-05,2.654511573e-06,2.78847702e-06
id1,scenario7,7,1.609396736,1.26095404,2.06480317,0.9024662309,1.111426619,1.908975018,0.7880823363,1.255922943,2.182166075,0.4687557696,0.3510815762,0.4425381719,0.02317392464,0.01733287332,0.02188608465,0.3154172554,0.2362417229,0.2977771783,3.468768318e-05,1.055350157e-05,2.874177943e-05,1.412452802e-05,1.193088627e-05,3.284241624e-05,7.884175123e-06,1.379671191e-05,3.451632343e-05,7.073143306e-07,2.516359536e-07,3.936447224e-07,1.7280361e-09,6.139795e-10,9.616121e-10,3.202350736e-07,1.139318155e-07,1.782374673e-07
id1,scenario8,8,0.03485562592,0.04359463922,0.04411482039,0.03230691442,0.04042785248,0.04088872152,0.02423315403,0.03032261586,0.03068141858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.01508789e-08,2.96328631e-08,3.1969218e-08,3.45143001e-08,2.54850847e-08,2.7460447e-08,1.94168892e-08,1.43378195e-08,1.5462126e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
id1,scenario9,9,2.886457601,1.376256905,1.533352248,6.898365889,2.597264789,3.428827349,5.295953878,2.543457121,2.937543515,2.022992609,1.380801313,2.435353407,4.800134424,4.094095079,5.855863433,5.330791639,4.357366589,7.515991941,1.91415944e-05,3.287107386e-06,4.119644927e-06,0.0001175595351,1.173417048e-05,2.742791415e-05,5.500710706e-05,1.248099804e-05,1.542905026e-05,2.606542382e-05,8.631189276e-06,2.716255179e-05,6.702760671e-05,4.087856298e-05,7.586117984e-05,7.700972806e-05,4.461089701e-05,0.000134891444
id10,scenario1,1,2.022243089,2.185094525,2.68134475,4.659582753,3.465740841,3.809741639,6.409969733,3.562445402,6.114231863,0.1398137451,0.06526979553,0.0710315985,5.133835183,4.915357706,5.274314346,3.512626633,5.190460192,3.906691295,4.410285434e-05,2.983580432e-05,5.168379134e-05,9.534194955e-05,3.547927672e-05,4.823138692e-05,0.0002171174645,4.083037215e-05,0.0001196414905,6.58399737e-08,8.3763291e-09,9.1981607e-09,0.0001701980248,9.694899316e-05,0.0001013451963,8.946694442e-05,0.0001639688,8.220307868e-05
id10,scenario2,2,5.781643558,3.647303165,4.485983953,4.74606043,3.556375771,3.905196993,15.06914056,11.29872609,15.18424183,6.37536819,1.607469328,1.803179755,5.955989589,5.41328664,4.884702251,5.664376319,3.71778871,4.978928003,8.058329861e-05,5.223473049e-05,9.893318425e-05,0.0001105027504,4.306442467e-05,4.725151877e-05,0.0005247339494,0.0002722066166,0.0005086485239,6.888730948e-05,4.167667487e-06,5.963822476e-06,0.0001919855143,9.817532677e-05,7.859106948e-05,8.349989925e-05,3.780135727e-05,8.820481088e-05
id10,scenario3,3,1.667310019,1.077736408,1.394099805,12.44499121,8.427635524,10.00659774,11.17738296,10.16349841,11.85198581,0.959979502,0.6325250013,0.8624949747,12.64926291,10.40205501,12.35987083,8.640206536,9.388798697,11.9674483,4.230694921e-06,1.874538414e-06,3.421209041e-06,0.000264399762,0.0001181364501,0.0001721947809,0.0002504580864,0.000179486155,0.0002539889177,1.91333992e-06,6.926000518e-07,1.500883316e-06,0.0003303127784,0.0002096052443,0.000290149699,0.0001557257304,0.0001740054331,0.0003183441987
id10,scenario4,4,1.471553288,0.6372858804,1.594274713,3.50629349,2.524986489,2.590152649,3.767130258,0.8687427192,0.7999744856,1.063628044,1.456445994,2.053966427,0.6198813651,0.1721984874,0.1735977105,1.237530074,0.3438082727,0.3466194494,1.71740906e-05,3.118715853e-06,1.751666492e-05,4.730490409e-05,2.913156472e-05,3.24305362e-05,2.107675665e-05,1.352284045e-06,9.633944752e-07,1.164832191e-05,1.37728741e-05,2.690620541e-05,1.463359637e-06,7.74391624e-08,7.8362616e-08,5.832019057e-06,3.086304809e-07,3.12316443e-07
id10,scenario5,5,4.358625897,2.337920854,2.842509592,13.07181525,11.97305934,17.75548491,16.03224908,14.3175004,21.40025378,2.860581647,2.188146535,2.591590168,9.87386105,10.18269641,14.94804328,11.40479132,10.67071059,17.16696948,6.925824541e-05,1.853021779e-05,2.705131571e-05,0.0004472385778,0.0003121726085,0.000721391076,0.0005583518202,0.0004122506232,0.0009334212281,2.372737034e-05,2.392286058e-05,3.353351053e-05,0.0002898013529,0.0003088687782,0.0006931918119,0.0003348259677,0.0002511202789,0.0007635829275
id10,scenario6,6,4.936050188,4.219218359,5.073128484,10.06002046,7.187616436,12.42086252,22.24081665,16.25784542,18.83884502,4.581008967,4.194337172,5.39308846,10.72076865,10.07519317,11.88281557,10.72807517,11.51262963,13.89496364,4.539524559e-05,3.744091622e-05,6.40156316e-05,0.0002474165477,0.0001110024151,0.0004061208273,0.0008982017226,0.0004022333583,0.0006089900005,5.613211453e-05,4.348639804e-05,7.084915777e-05,0.0003423190584,0.0002569947896,0.0003597846222,0.0003586679299,0.0003534521832,0.0005015166392
id10,scenario7,7,2.744933129,1.164986195,1.102969474,0.5175424972,0.1719908076,0.159634419,1.252909439,0.4164605418,0.3865945927,3.497612844,3.274364489,3.172641835,3.587236757,3.368564016,3.911400942,3.166111408,3.750063015,3.371334755,1.693113495e-05,4.018284736e-06,4.315256402e-06,4.188137452e-07,5.32502243e-08,3.9867268e-08,2.454467177e-06,3.121477927e-07,2.338539733e-07,6.609022196e-05,7.127767773e-05,8.051217623e-05,8.839583072e-05,5.798884887e-05,8.118011797e-05,6.625189765e-05,8.927772464e-05,5.167111339e-05
