subject_id,task,channel,subband,scenario,scenario_num,mav,variance
id1,thinking,C3,High_Beta,scenario5,5,3.074627365,6.717595784e-05
id1,thinking,C3,High_Beta,scenario6,6,12.39614264,0.0003773633628
id1,thinking,C3,High_Beta,scenario7,7,0.4687557696,7.073143306e-07
id1,thinking,C3,High_Beta,scenario8,8,0.0,0.0
id1,thinking,C3,High_Beta,scenario9,9,2.022992609,2.606542382e-05
id1,thinking,C3,Low_Beta,scenario1,1,2.781926162,1.491422033e-05
id1,thinking,C3,Low_Beta,scenario2,2,4.110266207,6.924625895e-05
id1,thinking,C3,Low_Beta,scenario3,3,1.664664989,6.085292606e-06
id1,thinking,C3,Low_Beta,scenario4,4,1.764158244,5.522171075e-06
id1,thinking,C3,Low_Beta,scenario5,5,3.929368791,5.983457472e-05
id1,thinking,C3,Low_Beta,scenario6,6,6.465203396,9.817044985e-05
id1,thinking,C3,Low_Beta,scenario7,7,0.3510815762,2.516359536e-07
id1,thinking,C3,Low_Beta,scenario8,8,0.0,0.0
id1,thinking,C3,Low_Beta,scenario9,9,1.380801313,8.631189276e-06
id1,thinking,C3,Mu,scenario1,1,3.048139877,1.812003521e-05
id1,thinking,C3,Mu,scenario2,2,6.111616826,0.0001652048513
id1,thinking,C3,Mu,scenario3,3,1.849646406,7.446510349e-06
id1,thinking,C3,Mu,scenario4,4,2.017124052,8.136301035e-06
id1,thinking,C3,Mu,scenario5,5,4.396202496,8.196262028e-05
id1,thinking,C3,Mu,scenario6,6,6.342204395,9.091610344e-05
id1,thinking,C3,Mu,scenario7,7,0.4425381719,3.936447224e-07
id1,thinking,C3,Mu,scenario8,8,0.0,0.0
id1,thinking,C3,Mu,scenario9,9,2.435353407,2.716255179e-05
id1,thinking,C4,High_Beta,scenario1,1,17.03752668,0.0005088294842
id1,thinking,C4,High_Beta,scenario2,2,7.4109411,0.0002710458251
id1,thinking,C4,High_Beta,scenario3,3,3.40206745,2.900146316e-05
id1,thinking,C4,High_Beta,scenario4,4,3.402711285,2.467101078e-05
id1,thinking,C4,High_Beta,scenario5,5,13.18829339,0.0004236810271
id1,thinking,C4,High_Beta,scenario6,6,1.533478305,4.943933997e-06
id1,thinking,C4,High_Beta,scenario7,7,0.02317392464,1.7280361e-09
id1,thinking,C4,High_Beta,scenario8,8,0.0,0.0
id1,thinking,C4,High_Beta,scenario9,9,4.800134424,6.702760671e-05
id1,thinking,C4,Low_Beta,scenario1,1,4.548446369,3.613534024e-05
id1,thinking,C4,Low_Beta,scenario2,2,5.280881248,0.0001036254373
id1,thinking,C4,Low_Beta,scenario3,3,2.132839766,1.097485167e-05
id1,thinking,C4,Low_Beta,scenario4,4,2.077311552,8.671613731e-06
id1,thinking,C4,Low_Beta,scenario5,5,13.07453094,0.0003106557027
id1,thinking,C4,Low_Beta,scenario6,6,0.8328329241,1.449869714e-06
id1,thinking,C4,Low_Beta,scenario7,7,0.01733287332,6.139795e-10
id1,thinking,C4,Low_Beta,scenario8,8,0.0,0.0
id1,thinking,C4,Low_Beta,scenario9,9,4.094095079,4.087856298e-05
id1,thinking,C4,Mu,scenario1,1,5.605410449,5.334165125e-05
id1,thinking,C4,Mu,scenario2,2,5.394629638,0.0001057977516
id1,thinking,C4,Mu,scenario3,3,2.096333111,9.885784818e-06
id1,thinking,C4,Mu,scenario4,4,2.397787865,1.112053514e-05
id1,thinking,C4,Mu,scenario5,5,16.76191154,0.0005769594137
id1,thinking,C4,Mu,scenario6,6,0.787138551,1.166616904e-06
id1,thinking,C4,Mu,scenario7,7,0.02188608465,9.616121e-10
id1,thinking,C4,Mu,scenario8,8,0.0,0.0
id1,thinking,C4,Mu,scenario9,9,5.855863433,7.586117984e-05
id1,thinking,CZ,High_Beta,scenario1,1,14.12323247,0.0003764201811
id1,thinking,CZ,High_Beta,scenario2,2,4.70244611,0.0001679554256
id1,thinking,CZ,High_Beta,scenario3,3,11.47436485,0.0003194507974
id1,thinking,CZ,High_Beta,scenario4,4,10.27935113,0.0002483648113
id1,thinking,CZ,High_Beta,scenario5,5,14.25101148,0.0005471683107
id1,thinking,CZ,High_Beta,scenario6,6,2.354475702,1.035045009e-05
id1,thinking,CZ,High_Beta,scenario7,7,0.3154172554,3.202350736e-07
id1,thinking,CZ,High_Beta,scenario8,8,0.0,0.0
id1,thinking,CZ,High_Beta,scenario9,9,5.330791639,7.700972806e-05
id1,thinking,CZ,Low_Beta,scenario1,1,4.450526934,3.275903869e-05
id1,thinking,CZ,Low_Beta,scenario2,2,4.856669731,0.0001482393001
id1,thinking,CZ,Low_Beta,scenario3,3,11.18281961,0.0002627880318
id1,thinking,CZ,Low_Beta,scenario4,4,7.529528176,0.0001088447931
id1,thinking,CZ,Low_Beta,scenario5,5,10.61757472,0.0002351424744
id1,thinking,CZ,Low_Beta,scenario6,6,1.22680926,2.654511573e-06
id1,thinking,CZ,Low_Beta,scenario7,7,0.2362417229,1.139318155e-07
id1,thinking,CZ,Low_Beta,scenario8,8,0.0,0.0
id1,thinking,CZ,Low_Beta,scenario9,9,4.357366589,4.461089701e-05
id1,thinking,CZ,Mu,scenario1,1,5.355470865,4.458733684e-05
id1,thinking,CZ,Mu,scenario2,2,4.766055452,0.0001154862916
id1,thinking,CZ,Mu,scenario3,3,10.87942112,0.0002584858268
id1,thinking,CZ,Mu,scenario4,4,8.395547701,0.0001427599747
id1,thinking,CZ,Mu,scenario5,5,14.51441432,0.0004638069383
id1,thinking,CZ,Mu,scenario6,6,1.238177854,2.78847702e-06
id1,thinking,CZ,Mu,scenario7,7,0.2977771783,1.782374673e-07
id1,thinking,CZ,Mu,scenario8,8,0.0,0.0
id1,thinking,CZ,Mu,scenario9,9,7.515991941,0.000134891444
id10,resting,C3,High_Beta,scenario1,1,2.022243089,4.410285434e-05
id10,resting,C3,High_Beta,scenario2,2,5.781643558,8.058329861e-05
id10,resting,C3,High_Beta,scenario3,3,1.667310019,4.230694921e-06
id10,resting,C3,High_Beta,scenario4,4,1.471553288,1.71740906e-05
id10,resting,C3,High_Beta,scenario5,5,4.358625897,6.925824541e-05
id10,resting,C3,High_Beta,scenario6,6,4.936050188,4.539524559e-05
id10,resting,C3,High_Beta,scenario7,7,2.744933129,1.693113495e-05
id10,resting,C3,High_Beta,scenario8,8,2.10735465,1.95773785e-05
id10,resting,C3,High_Beta,scenario9,9,6.145936537,0.0001039859033
id10,resting,C3,Low_Beta,scenario1,1,2.185094525,2.983580432e-05
id10,resting,C3,Low_Beta,scenario2,2,3.647303165,5.223473049e-05
id10,resting,C3,Low_Beta,scenario3,3,1.077736408,1.874538414e-06
id10,resting,C3,Low_Beta,scenario4,4,0.6372858804,3.118715853e-06
id10,resting,C3,Low_Beta,scenario5,5,2.337920854,1.853021779e-05
id10,resting,C3,Low_Beta,scenario6,6,4.219218359,3.744091622e-05
