Model,Test_Accuracy,F1_Weighted,GroupKFold_CV_Mean,GroupKFold_CV_Std
XGBoost,0.13398692810457516,0.13389978813911538,0.126797385620915,0.023601921680088615
LightGBM,0.13398692810457516,0.1308499269328924,0.130718954248366,0.025313616641878544
Stacking (RF+XGB+LGBM+KNN),0.13071895424836602,0.1326057123505401,,
Random Forest,0.12745098039215685,0.12669968166041876,0.1176470588235294,0.02320031287490045
KNN,0.12418300653594772,0.11392240016286488,0.12352941176470592,0.03015757384329236
Gradient Boosting,0.12091503267973856,0.11773920429858908,0.1287581699346405,0.020471189233157945
AdaBoost,0.11764705882352941,0.10824574527091689,0.11764705882352941,0.018018364381817285
Logistic Regression,0.08496732026143791,0.084651204624376,0.11111111111111112,0.017537788058821877
