Model,Accuracy,F1_Score,ROC_AUC,CV_AUC_Mean,CV_AUC_Std
KNN,0.5774647887323944,0.5588235294117647,0.6499999999999999,0.6148639455782312,0.08399767124225466
SVM (RBF),0.5774647887323944,0.6511627906976745,0.6265873015873016,0.5925850340136054,0.10049599333221955
Stacking (RF+XGB+LGBM+SVM),0.5633802816901409,0.6265060240963856,0.6115079365079366,,
Random Forest,0.6197183098591549,0.6197183098591549,0.609920634920635,0.5667176870748298,0.10132652633057242
Logistic Regression,0.5492957746478874,0.6190476190476191,0.6083333333333333,0.6353741496598639,0.08070691074608709
XGBoost,0.5211267605633803,0.5405405405405406,0.5916666666666667,0.523639455782313,0.12425084405216162
AdaBoost,0.5774647887323944,0.5833333333333334,0.5813492063492064,0.5976530612244899,0.12075533657753329
Gradient Boosting,0.5352112676056338,0.56,0.5384920634920635,0.4998639455782312,0.11987440787654056
LightGBM,0.5211267605633803,0.5405405405405406,0.5345238095238095,0.5230952380952381,0.11880816053094316
