Model,Accuracy,F1_Score,ROC_AUC,CV_AUC_Mean,CV_AUC_Std
SVM (RBF),0.38235294117647056,0.3225806451612903,0.6262975778546713,0.4669544740973313,0.14807747957893283
Stacking (RF+XGB+LGBM+SVM),0.5441176470588235,0.5230769230769231,0.5916955017301039,,
KNN,0.5,0.5,0.4961072664359862,0.4458594976452119,0.12183643690632465
Gradient Boosting,0.47058823529411764,0.4857142857142857,0.46453287197231835,0.44391679748822604,0.048840159609963844
LightGBM,0.5,0.43333333333333335,0.4429065743944637,0.457182103610675,0.059795558254934066
Random Forest,0.4411764705882353,0.42424242424242425,0.41825259515570934,0.42668759811616946,0.08572349484171356
XGBoost,0.4117647058823529,0.4117647058823529,0.4005190311418685,0.42115384615384616,0.06126283114952842
Logistic Regression,0.39705882352941174,0.32786885245901637,0.39359861591695505,0.433359497645212,0.09711733343791353
AdaBoost,0.4117647058823529,0.4117647058823529,0.38019031141868515,0.4048076923076923,0.060806601387039666
